repository_filename,repository_figure_label,manuscript_figure_number,figure_type,research_question,dataset,evidence_type,number_of_observations,metric,statistical_summary,release_context,script,interpretation_warning
r01_algorithm_architecture_grouped_bar.png / .pdf,Repository supplemental figure R01,,grouped_bar,How does mean native-compiled depth differ by algorithm family and architecture proxy?,results/tables/architecture_validation_table.csv,offline_proxy,42,native_compiled_depth,Mean by algorithm family and proxy architecture.,R alternative visualization,analysis/generate_final_figures_r.R,Means combine configured sizes and deterministic repetitions; this is not physical hardware performance.
r02_native_depth_distribution_boxplot.png / .pdf,Repository supplemental figure R02,,boxplot_with_jitter,How much spread exists in native-compiled depth within each architecture proxy?,results/tables/architecture_validation_table.csv,offline_proxy,42,native_compiled_depth,Raw rows shown; box summarizes median and quartiles by architecture proxy.,R alternative visualization,analysis/generate_final_figures_r.R,Repeated rows are deterministic repeats unless compiler settings change; spread mostly reflects circuit families and sizes.
r03_gate_count_vs_fidelity_scatter.png / .pdf,Repository supplemental figure R03,,scatter,Do circuits with more native entangling gates tend to have lower proxy-estimated success?,results/tables/architecture_validation_table.csv,offline_proxy,42,native_entangling_gate_count and estimated_success_probability_from_proxy_error_model,Raw architecture-proxy rows.,R alternative visualization,analysis/generate_final_figures_r.R,No statistical significance test is claimed; estimated success comes from a proxy error model.
r04_scaling_by_qubit_count_line.png / .pdf,Repository supplemental figure R04,,line,How does routing overhead change as configured circuit size increases?,results/tables/qubit_grouped_statistics.csv,offline_proxy,14,routing_swap_count,"Mean by algorithm, proxy architecture, and qubit count.",R alternative visualization,analysis/generate_final_figures_r.R,Lines are omitted for groups with only one size; line segments should not be read as continuous physical laws.
r05_algorithm_architecture_heatmap.png / .pdf,Repository supplemental figure R05,,heatmap,Where is routing SWAP overhead concentrated across algorithms and architecture proxies?,results/tables/qubit_grouped_statistics.csv,offline_proxy,8,routing_swap_count,Mean of size-level means by algorithm family and architecture proxy.,R alternative visualization,analysis/generate_final_figures_r.R,"Only one compatible metric is shown, so color intensity should not be compared to timing or fidelity scales."
r06_matched_architecture_slopegraph.png / .pdf,Repository supplemental figure R06,,slopegraph,How does the same logical circuit's estimated success change between architecture proxies?,results/tables/matched_size_architecture_comparison.csv,offline_proxy,7,estimated_success_probability_from_proxy_error_model,Mean by matched algorithm family and qubit count.,R alternative visualization,analysis/generate_final_figures_r.R,"The paired change is a proxy-model comparison, not a measured hardware fidelity comparison."
r07_proxy_results_faceted.png / .pdf,Repository supplemental figure R07,,faceted_small_multiple,"How do several proxy metrics vary by algorithm, size, and architecture without mixing units?",results/tables/qubit_grouped_statistics.csv,offline_proxy,56,"native depth, entangling gates, routing SWAPs, and duration","Mean by metric, algorithm, architecture proxy, and qubit count.",R alternative visualization,analysis/generate_final_figures_r.R,Facet y-axes differ because the metrics use different units; do not compare heights across rows.
r08_ibm_hardware_probability_ci.png / .pdf,Repository supplemental figure R08,,dot_plot_with_wilson_confidence_intervals,What all-zero/all-one probability did the IBM hardware job return by measured bit width?,results/hardware/ibm_job_d95vhvd2su3c739gc080_summary.csv,physical_hardware,115,all_zero_or_all_one_probability,Counts summed by bit width; Wilson 95% binomial interval calculated from summed successes and shots.,R alternative visualization,analysis/generate_final_figures_r.R,The metric is most meaningful for Bell/GHZ-style circuits and should not be treated as universal algorithm accuracy.
r09_quantinuum_emulator_results.png / .pdf,Repository supplemental figure R09,,grouped_bar,What did the stored Quantinuum Nexus emulator validation return for the small circuits?,results/tables/quantinuum_validation_plot_rows.csv,emulator,6,all_zero_or_all_one_probability,Raw row per target and validation circuit.,R alternative visualization,analysis/generate_final_figures_r.R,These are Nexus emulator results and must not be described as physical Quantinuum QPU measurements.
r10_evidence_summary.png / .pdf,Repository supplemental figure R10,,bar,How many stored records exist in each evidence category?,results/tables/architecture_validation_table.csv; results/hardware/ibm_job_d95vhvd2su3c739gc080_summary.csv; results/tables/quantinuum_validation_plot_rows.csv,mixed_summary,163,record_count,Rows counted separately by evidence category.,R alternative visualization,analysis/generate_final_figures_r.R,Record count is not a measure of evidence quality and does not combine the evidence types analytically.
