target,circuit_id,display_name,successful_repetitions,shots_retrieved,mean_distribution_fidelity,sd_distribution_fidelity,min_distribution_fidelity,max_distribution_fidelity,mean_tvd,sd_tvd
H2-1LE,bell_state,Bell-2,3,3000,0.9996050993553333,0.00034212108023159743,0.999215384378,0.999855979258,0.018666666666666668,0.00832666399786453
H2-1LE,ghz_3,GHZ-3,3,3000,0.999441444386,0.0006045200870771445,0.998773495687,0.999950997599,0.020666666666666667,0.014011899704655804
H2-1LE,ghz_5,GHZ-5,3,3000,0.999790270377,0.00016868588161569594,0.999675894956,0.999983999744,0.013,0.0078102496759066544
H2-1LE,ghz_7,GHZ-7,3,3000,0.9992733612766667,0.0004075283051256372,0.9990380747,0.99974393443,0.026,0.008660254037844387
H2-1LE,grover_search_2,Grover-2,3,3000,1.0,0.0,1.0,1.0,0.0,0.0
H2-1LE,qft_3,QFT-3,3,3000,0.997517576722,0.000520113571009653,0.996931894694,0.997925528762,0.038,0.0036055512754639895
H2-1LE,qft_5,QFT-5,3,3000,0.9905461913673334,0.0037970895224656302,0.987222837804,0.994684636136,0.07608333333333334,0.01735715510483597
H2-Emulator,bell_state,Bell-2,3,3000,0.994436894849,0.0005047749840895872,0.993855109665,0.994758484091,0.023666666666666666,0.012503332889007368
H2-Emulator,ghz_3,GHZ-3,3,3000,0.9924457834736666,0.0023218479787352766,0.989898979591,0.994444664928,0.016,0.009539392014169456
H2-Emulator,ghz_5,GHZ-5,3,3000,0.98696086646,0.0045406658649293895,0.981998981669,0.990908922003,0.014666666666666666,0.0030550504633038923
H2-Emulator,ghz_7,GHZ-7,3,3000,0.984353351495,0.002986337661504031,0.982606767177,0.987801579584,0.030666666666666665,0.012897028081435401
H2-Emulator,grover_search_2,Grover-2,3,3000,0.991,0.0020000000000000018,0.989,0.993,0.009,0.0019999999999999996
H2-Emulator,qft_3,QFT-3,3,3000,0.9985826767133333,0.0009256642892422643,0.997514017693,0.999135180383,0.029666666666666668,0.007371114795831993
H2-Emulator,qft_5,QFT-5,3,3000,0.9930124049776666,0.0034845405573554773,0.988991346408,0.995146784496,0.06608333333333333,0.012858201014657275
